trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-177.60173212475237,"{0: 21, 1: 0, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.6065306597126334}",30,0,-89.55596792902239,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,17,-9.764198417790821,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,0,-121.87287073756485,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.1353352832366127}",30,0,-41.776886251180045,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,10,-23.86505781222878,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.049787068367863944}",20,0,-79.04633676936076,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.0301973834223185}",20,0,-9.37333603513117,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.01831563888873418}",20,0,-34.87774760559431,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.011108996538242306}",30,0,-43.48617220488952,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.006737946999085467}",30,0,-52.78432937333963,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.004086771438464067}",30,13,29.5002030854087,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.0024787521766663585}",20,0,-0.6809729546723668,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.0015034391929775724}",30,0,-86.93142763797734,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.0009118819655545162}",25,0,14.576365039713416,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.0005530843701478336}",20,0,13.37008712501725,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.00033546262790251185}",25,0,-77.9477812933628,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.00020346836901064417}",25,0,-184.71321247798906,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 5}",0
19,False,"{'a': 0.5, 'e': 0.00012340980408667956}",25,0,16.50367224211632,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",20,0,-0.6634757935631843,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-3.739681873297567,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,7,-26.17240603502989,"{0: 10, 1: 1, 2: 0, 3: 2, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,35.36030093127528,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,25.93465794079015,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-11.009424978309674,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,7,16.60397432798351,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-49.37903788893826,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-3.5786536624870164,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-16.789960842584037,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,3,22.70893827924584,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
