trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-197.34513693487543,"{0: 18, 1: 0, 2: 8, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.88886004019334,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.69793240643116,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.80059143390016,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-238.49488752393742,"{0: 12, 1: 2, 2: 4, 3: 4, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-246.54782906183183,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.91317897702469,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.40179408931624,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.608523105509,"{0: 16, 1: 6, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.75247914051937,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.29981822213083,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.80842173539365,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.60527211494616,"{0: 12, 1: 4, 2: 1, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-144.24675311072917,"{0: 24, 1: 4, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-71.04174625559963,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-102.20882890943527,"{0: 24, 1: 2, 2: 8, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.16337877744851,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.54916822501943,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-270.13784870355056,"{0: 16, 1: 4, 2: 10, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.1028916225742,"{0: 17, 1: 4, 2: 5, 3: 3, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-192.52582448449306,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.15682755899698,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.02136589665245,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.261724846290676,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-13.166707732293192,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-51.29052995310411,"{0: 19, 1: 2, 2: 1, 3: 3, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-298.9034509129186,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 6}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-90.75656633891417,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-170.9484588244855,"{0: 13, 1: 1, 2: 6, 3: 4, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.25818614324876,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
