trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 1.0}",30,0,-140.3573483556166,"{0: 18, 1: 2, 2: 5, 3: 5, 4: 0}",0
2,False,"{'a': 0.4, 'e': 0.9900448802097482}",25,18,-38.675493434793445,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
3,False,"{'a': 0.4, 'e': 0.9801888648295347}",20,0,-34.731160348352866,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.4, 'e': 0.9704309672630858}",20,0,-28.866676763517205,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.4, 'e': 0.9607702107358118}",20,0,-125.63871549913983,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.4, 'e': 0.9512056281970314}",35,0,-145.69006632858043,"{0: 24, 1: 3, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.4, 'e': 0.9417362622231682}",25,0,-163.59687847722452,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.4, 'e': 0.9323611649219126}",20,0,-75.65659236696791,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.4, 'e': 0.9230793978373362}",20,0,-143.92425828309194,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.4, 'e': 0.913890031855952}",35,0,-242.05190651388804,"{0: 17, 1: 3, 2: 11, 3: 1, 4: 3}",0
11,False,"{'a': 0.4, 'e': 0.9047921471137089}",25,3,-91.91903187990438,"{0: 13, 1: 2, 2: 4, 3: 3, 4: 0}",1
12,False,"{'a': 0.4, 'e': 0.8957848329039129}",25,0,-51.404299677689,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.4, 'e': 0.8868671875860638}",20,0,-82.43456124664225,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.4, 'e': 0.8780383184956008}",20,0,-145.05019728629574,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.4, 'e': 0.8692973418545458}",20,0,-105.83097989999607,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.4, 'e': 0.8606433826830363}",25,0,-110.38846216287425,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.8520755747117391}",20,0,-230.78446268541154,"{0: 9, 1: 0, 2: 6, 3: 1, 4: 4}",0
18,False,"{'a': 0.4, 'e': 0.8435930602951361}",20,0,-64.54159208313159,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.4, 'e': 0.8351949903256729}",20,0,-135.39704913821842,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.4, 'e': 0.8268805241487627}",20,12,-10.973788177514688,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.4, 'e': 0.8186488294786356}",20,0,-8.332444916793786,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
22,False,"{'a': 0.4, 'e': 0.8104990823150263}",30,0,-139.87727684440478,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
23,False,"{'a': 0.4, 'e': 0.8024304668606911}",35,0,-122.9438948389793,"{0: 23, 1: 4, 2: 5, 3: 2, 4: 1}",0
24,False,"{'a': 0.4, 'e': 0.7944421754397453}",20,0,-104.79610834959682,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
25,False,"{'a': 0.4, 'e': 0.7865334084168143}",25,15,-27.852117030626456,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
26,False,"{'a': 0.4, 'e': 0.7787033741169899}",20,0,-75.77536505240782,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 0.4, 'e': 0.770951288746582}",20,0,-104.50554772047029,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.4, 'e': 0.7632763763146607}",25,0,-82.71828936416902,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.4, 'e': 0.755677868555379}",25,0,-155.8057365824665,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
30,False,"{'a': 0.4, 'e': 0.7481550048510681}",20,0,-60.65268785010852,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
31,False,"{'a': 0.4, 'e': 0.7407070321560992}",20,0,-2.7223836425600134,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
